"filename", "language", "XML", "Python", "comment", "blank", "total"
"d:\Software\Coding\PortableGit\bin\DeepVibration\imgaes\logo.svg", "XML", 1, 0, 0, 0, 1
"d:\Software\Coding\PortableGit\bin\DeepVibration\imgaes\rawpulse.svg", "XML", 166863, 0, 453, 1, 167317
"d:\Software\Coding\PortableGit\bin\DeepVibration\imgaes\temperature&power.svg", "XML", 52683, 0, 91, 1, 52775
"d:\Software\Coding\PortableGit\bin\DeepVibration\imgaes\temperature.svg", "XML", 51990, 0, 77, 1, 52068
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\coincident\process\fft.py", "Python", 0, -291, -40, -61, -392
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\coincident\process\hilbert.py", "Python", 0, -536, -80, -103, -719
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\coincident\process\lomb.py", "Python", 0, -360, -56, -83, -499
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\coincident\process\wavelet.py", "Python", 0, -288, -28, -63, -379
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\coincident\randomtrigger&inhibit.py", "Python", 0, -507, -81, -118, -706
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\compressor\select.py", "Python", 0, -332, -70, -74, -476
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\inhibit\select.py", "Python", 0, -221, -31, -56, -308
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\physical\cut\overthreshold.py", "Python", 0, -260, -48, -63, -371
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\physical\select.py", "Python", 0, -241, -40, -61, -342
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\physical\wavelet.py", "Python", 0, -340, -53, -74, -467
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\preprocessor.py", "Python", 0, -215, -53, -51, -319
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\randomtrigger\distribution.py", "Python", 0, -149, -19, -32, -200
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\sensor\vibration\preprocess.py", "Python", 0, -460, -98, -107, -665
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\sensor\vibration\temperature\select.py", "Python", 0, -288, -53, -67, -408
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\temperature\power\unite.py", "Python", 0, -326, -54, -60, -440
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\temperature\unite.py", "Python", 0, -274, -47, -52, -373
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\data\wavelet\wavelet.py", "Python", 0, -632, -102, -142, -876
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\utils\__init__.py", "Python", 0, 0, -1, -2, -3
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\utils\save.py", "Python", 0, -97, -25, -16, -138
"d:\Software\Coding\PortableGit\bin\DeepVibration\python\utils\visualize.py", "Python", 0, -310, -37, -72, -419
"Total", "-", 271537, -6127, -395, -1354, 263661
